site_key,name,country,category,inscription_year,unesco_url
vinales_valley,Viñales Valley,CUB,Cultural,1999,https://whc.unesco.org/en/list/840
paphos,Paphos,CYP,Cultural,1980,https://whc.unesco.org/en/list/79
jewish_quarter_and_st_procopius_basilica_in_trebic,Jewish Quarter and St Procopius' Basilica in Třebíč,CZE,Cultural,2003,https://whc.unesco.org/en/list/1078
lednice_valtice_cultural_landscape,Lednice-Valtice Cultural Landscape,CZE,Cultural,1996,https://whc.unesco.org/en/list/763
pilgrimage_church_of_st_john_of_nepomuk_at_zelena_hora,Pilgrimage Church of St John of Nepomuk at Zelená Hora,CZE,Cultural,1994,https://whc.unesco.org/en/list/690
buddhist_monuments_in_the_horyu_ji_area,Buddhist Monuments in the Horyu-ji Area,JPN,Cultural,1993,https://whc.unesco.org/en/list/660
zatec_and_the_landscape_of_saaz_hops,Žatec and the Landscape of Saaz Hops,CZE,Cultural,2023,https://whc.unesco.org/en/list/1558
complex_of_koguryo_tombs,Complex of Koguryo Tombs,PRK,Cultural,2004,https://whc.unesco.org/en/list/1091
virunga_national_park,Virunga National Park,COD,Natural,1979,https://whc.unesco.org/en/list/63
kronborg_castle,Kronborg Castle,DNK,Cultural,2000,https://whc.unesco.org/en/list/696
ilulissat_icefjord,Ilulissat Icefjord,DNK,Natural,2004,https://whc.unesco.org/en/list/1149
the_par_force_hunting_landscape_in_north_zealand,The par force hunting landscape in North Zealand,DNK,Cultural,2015,https://whc.unesco.org/en/list/1469
stevns_klint,Stevns Klint,DNK,Natural,2014,https://whc.unesco.org/en/list/1416
moravian_church_settlements,Moravian Church Settlements,DNK,Cultural,2015,https://whc.unesco.org/en/list/1468
colonial_city_of_santo_domingo,Colonial City of Santo Domingo,DOM,Cultural,1990,https://whc.unesco.org/en/list/526
viking_age_ring_fortresses,Viking-Age Ring Fortresses,DNK,Cultural,2023,https://whc.unesco.org/en/list/1660
city_of_quito,City of Quito,ECU,Cultural,1978,https://whc.unesco.org/en/list/2
melka_kunture_and_balchit_archaeological_and_palaeontological_sites_in_the_highland_area_of_ethiopia,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,ETH,Cultural,2024,https://whc.unesco.org/en/list/13
memphis_and_its_necropolis_the_pyramid_fields_from_giza_to_dahshur,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,EGY,Cultural,1979,https://whc.unesco.org/en/list/86
historic_cairo,Historic Cairo,EGY,Cultural,1979,https://whc.unesco.org/en/list/89
wadi_al_hitan_whale_valley,Wadi Al-Hitan (Whale Valley),EGY,Natural,2005,https://whc.unesco.org/en/list/1186
nubian_monuments_from_abu_simbel_to_philae,Nubian Monuments from Abu Simbel to Philae,EGY,Cultural,1979,https://whc.unesco.org/en/list/88
bale_mountains_national_park,Bale Mountains National Park,ETH,Natural,2023,https://whc.unesco.org/en/list/111
harar_jugol_the_fortified_historic_town,"Harar Jugol, the Fortified Historic Town",ETH,Cultural,2006,https://whc.unesco.org/en/list/1189
tiya,Tiya,ETH,Cultural,1980,https://whc.unesco.org/en/list/12
high_coast_kvarken_archipelago,High Coast / Kvarken Archipelago,SWE,Natural,2000,https://whc.unesco.org/en/list/898
bronze_age_burial_site_of_sammallahdenmaki,Bronze Age Burial Site of Sammallahdenmäki,FIN,Cultural,1999,https://whc.unesco.org/en/list/579
amiens_cathedral,Amiens Cathedral,FRA,Cultural,1981,https://whc.unesco.org/en/list/162
arles_roman_and_romanesque_monuments,"Arles, Roman and Romanesque Monuments",FRA,Cultural,1981,https://whc.unesco.org/en/list/164
cathedral_of_notre_dame_former_abbey_of_saint_remi_and_palace_of_tau_reims,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",FRA,Cultural,1991,https://whc.unesco.org/en/list/601
canal_du_midi,Canal du Midi,FRA,Cultural,1996,https://whc.unesco.org/en/list/770
cistercian_abbey_of_fontenay,Cistercian Abbey of Fontenay,FRA,Cultural,1981,https://whc.unesco.org/en/list/165
decorated_cave_of_pont_darc_known_as_grotte_chauvet_pont_darc_ardeche,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",FRA,Cultural,2014,https://whc.unesco.org/en/list/1426
cordouan_lighthouse,Cordouan Lighthouse,FRA,Cultural,2021,https://whc.unesco.org/en/list/1625
chartres_cathedral,Chartres Cathedral,FRA,Cultural,1979,https://whc.unesco.org/en/list/81
fagus_factory_in_alfeld,Fagus Factory in Alfeld,DEU,Cultural,2011,https://whc.unesco.org/en/list/1368
from_the_great_saltworks_of_salins_les_bains_to_the_royal_saltworks_of_arc_et_senans_the_production_of_open_pan_salt,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",FRA,Cultural,1982,https://whc.unesco.org/en/list/203
gulf_of_porto_calanche_of_piana_gulf_of_girolata_scandola_reserve,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",FRA,Natural,1983,https://whc.unesco.org/en/list/258
episcopal_city_of_albi,Episcopal City of Albi,FRA,Cultural,2010,https://whc.unesco.org/en/list/1337
historic_site_of_lyon,Historic Site of Lyon,FRA,Cultural,1998,https://whc.unesco.org/en/list/872
historic_centre_of_avignon_papal_palace_episcopal_ensemble_and_avignon_bridge,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",FRA,Cultural,1995,https://whc.unesco.org/en/list/228
nice_winter_resort_town_of_the_riviera,"Nice, Winter Resort Town of the Riviera",FRA,Cultural,2021,https://whc.unesco.org/en/list/1635
place_stanislas_place_de_la_carriere_and_place_d_alliance_in_nancy,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",FRA,Cultural,1983,https://whc.unesco.org/en/list/229
pont_du_gard_roman_aqueduct,Pont du Gard (Roman Aqueduct),FRA,Cultural,1985,https://whc.unesco.org/en/list/344
prehistoric_sites_and_decorated_caves_of_the_vezere_valley,Prehistoric Sites and Decorated Caves of the Vézère Valley,FRA,Cultural,1979,https://whc.unesco.org/en/list/85
pyrenees_mont_perdu,Pyrénées - Mont Perdu,ESP,Mixed,1997,https://whc.unesco.org/en/list/773
routes_of_santiago_de_compostela_in_france,Routes of Santiago de Compostela in France,FRA,Cultural,1998,https://whc.unesco.org/en/list/868
te_henua_enata_the_marquesas_islands,Te Henua Enata – The Marquesas Islands,FRA,Mixed,2024,https://whc.unesco.org/en/list/1707
vezelay_church_and_hill,"Vézelay, Church and Hill",FRA,Cultural,1979,https://whc.unesco.org/en/list/84
stone_circles_of_senegambia,Stone Circles of Senegambia,GMB,Cultural,2006,https://whc.unesco.org/en/list/1226
archaeological_border_complex_of_hedeby_and_the_danevirke,Archaeological Border complex of Hedeby and the Danevirke,DEU,Cultural,2018,https://whc.unesco.org/en/list/1553
berlin_modernism_housing_estates,Berlin Modernism Housing Estates,DEU,Cultural,2008,https://whc.unesco.org/en/list/1239
bauhaus_and_its_sites_in_weimar_dessau_and_bernau,"Bauhaus and its Sites in Weimar, Dessau and Bernau",DEU,Cultural,1996,https://whc.unesco.org/en/list/729
caves_and_ice_age_art_in_the_swabian_jura,Caves and Ice Age Art in the Swabian Jura,DEU,Cultural,2017,https://whc.unesco.org/en/list/1527
frontiers_of_the_roman_empire,Frontiers of the Roman Empire,GBR,Cultural,1987,https://whc.unesco.org/en/list/430
historic_centres_of_stralsund_and_wismar,Historic Centres of Stralsund and Wismar,DEU,Cultural,2002,https://whc.unesco.org/en/list/1067
monastic_island_of_reichenau,Monastic Island of Reichenau,DEU,Cultural,2000,https://whc.unesco.org/en/list/974
naumburg_cathedral,Naumburg Cathedral,DEU,Cultural,2018,https://whc.unesco.org/en/list/1470
palaces_and_parks_of_potsdam_and_berlin,Palaces and Parks of Potsdam and Berlin,DEU,Cultural,1990,https://whc.unesco.org/en/list/532
speicherstadt_and_kontorhaus_district_with_chilehaus,Speicherstadt and Kontorhaus District with Chilehaus,DEU,Cultural,2015,https://whc.unesco.org/en/list/1467
roman_monuments_cathedral_of_st_peter_and_church_of_our_lady_in_trier,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",DEU,Cultural,1986,https://whc.unesco.org/en/list/367
the_palaces_of_king_ludwig_ii_of_bavaria_neuschwanstein_linderhof_schachen_and_herrenchiemsee,"The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof, Schachen and Herrenchiemsee",DEU,Cultural,2025,https://whc.unesco.org/en/list/1726
st_mary_s_cathedral_and_st_michael_s_church_at_hildesheim,St Mary's Cathedral and St Michael's Church at Hildesheim,DEU,Cultural,1985,https://whc.unesco.org/en/list/187
wartburg_castle,Wartburg Castle,DEU,Cultural,1999,https://whc.unesco.org/en/list/897
zollverein_coal_mine_industrial_complex_in_essen,Zollverein Coal Mine Industrial Complex in Essen,DEU,Cultural,2001,https://whc.unesco.org/en/list/975
archaeological_sites_of_mycenae_and_tiryns,Archaeological Sites of Mycenae and Tiryns,GRC,Cultural,1999,https://whc.unesco.org/en/list/941
meteora,Meteora,GRC,Mixed,1988,https://whc.unesco.org/en/list/455
medieval_city_of_rhodes,Medieval City of Rhodes,GRC,Cultural,1988,https://whc.unesco.org/en/list/493
national_history_park_citadel_sans_souci_ramiers,"National History Park – Citadel, Sans Souci, Ramiers",HTI,Cultural,1982,https://whc.unesco.org/en/list/180
maya_site_of_copan,Maya Site of Copan,HND,Cultural,1980,https://whc.unesco.org/en/list/129
tokaj_wine_region_historic_cultural_landscape,Tokaj Wine Region Historic Cultural Landscape,HUN,Cultural,2002,https://whc.unesco.org/en/list/1063
agra_fort,Agra Fort,IND,Cultural,1983,https://whc.unesco.org/en/list/251
vatnajokull_national_park_dynamic_nature_of_fire_and_ice,Vatnajökull National Park - Dynamic Nature of Fire and Ice,ISL,Natural,2019,https://whc.unesco.org/en/list/1604
elephanta_caves,Elephanta Caves,IND,Cultural,1987,https://whc.unesco.org/en/list/244
group_of_monuments_at_mahabalipuram,Group of Monuments at Mahabalipuram,IND,Cultural,1984,https://whc.unesco.org/en/list/249
jaipur_city_rajasthan,"Jaipur City, Rajasthan",IND,Cultural,2019,https://whc.unesco.org/en/list/1605
moidams_the_mound_burial_system_of_the_ahom_dynasty,Moidams – the Mound-Burial System of the Ahom Dynasty,IND,Cultural,2024,https://whc.unesco.org/en/list/1711
qutb_minar_and_its_monuments_delhi,"Qutb Minar and its Monuments, Delhi",IND,Cultural,1993,https://whc.unesco.org/en/list/233
sacred_ensembles_of_the_hoysalas,Sacred Ensembles of the Hoysalas,IND,Cultural,2023,https://whc.unesco.org/en/list/1670
santiniketan,Santiniketan,IND,Cultural,2023,https://whc.unesco.org/en/list/1375
the_jantar_mantar_jaipur,"The Jantar Mantar, Jaipur",IND,Cultural,2010,https://whc.unesco.org/en/list/1338
sundarbans_national_park,Sundarbans National Park,IND,Natural,1987,https://whc.unesco.org/en/list/452
western_ghats,Western Ghats,IND,Natural,2012,https://whc.unesco.org/en/list/1342
the_cosmological_axis_of_yogyakarta_and_its_historic_landmarks,The Cosmological Axis of Yogyakarta and its Historic Landmarks,IDN,Cultural,2023,https://whc.unesco.org/en/list/1671
sangiran_early_man_site,Sangiran Early Man Site,IDN,Cultural,1996,https://whc.unesco.org/en/list/593
bisotun,Bisotun,IRN,Cultural,2006,https://whc.unesco.org/en/list/1222
bam_and_its_cultural_landscape,Bam and its Cultural Landscape,IRN,Cultural,2004,https://whc.unesco.org/en/list/1208
cultural_landscape_of_maymand,Cultural Landscape of Maymand,IRN,Cultural,2015,https://whc.unesco.org/en/list/1423
golestan_palace,Golestan Palace,IRN,Cultural,2013,https://whc.unesco.org/en/list/1422
tomioka_silk_mill_and_related_sites,Tomioka Silk Mill and Related Sites,JPN,Cultural,2014,https://whc.unesco.org/en/list/1449
hegmataneh,Hegmataneh,IRN,Cultural,2024,https://whc.unesco.org/en/list/1716
masjed_e_jame_of_isfahan,Masjed-e Jāmé of Isfahan,IRN,Cultural,2012,https://whc.unesco.org/en/list/1397
prehistoric_sites_of_the_khorramabad_valley,Prehistoric Sites of the Khorramabad Valley,IRN,Cultural,2025,https://whc.unesco.org/en/list/1744
meidan_emam_esfahan,"Meidan Emam, Esfahan",IRN,Cultural,1979,https://whc.unesco.org/en/list/115
shahr_i_sokhta,Shahr-i Sokhta,IRN,Cultural,2014,https://whc.unesco.org/en/list/1456
soltaniyeh,Soltaniyeh,IRN,Cultural,2005,https://whc.unesco.org/en/list/1188
the_persian_qanat,The Persian Qanat,IRN,Cultural,2016,https://whc.unesco.org/en/list/1506
ashur_qal_at_sherqat,Ashur (Qal'at Sherqat),IRQ,Cultural,2003,https://whc.unesco.org/en/list/1130
the_persian_garden,The Persian Garden,IRN,Cultural,2011,https://whc.unesco.org/en/list/1372
sceilg_mhichil,Sceilg Mhichíl,IRL,Cultural,1996,https://whc.unesco.org/en/list/757
i_sacri_monti_i_of_piedmont_and_lombardy,<I>Sacri Monti</I> of Piedmont and Lombardy,ITA,Cultural,2003,https://whc.unesco.org/en/list/1068
archaeological_areas_of_pompei_herculaneum_and_torre_annunziata,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",ITA,Cultural,1997,https://whc.unesco.org/en/list/829
